date,project,pod,regression_tests_automated,regression_tests_refactored,regression_tests_executed,regression_tests_passed,regression_tests_failed,shakedown_tests_automated,shakedown_tests_refactored,shakedown_tests_executed,shakedown_tests_passed,shakedown_tests_failed,defects_reported
01-03-2021,Quicksilver,2,424,355,246,109,137,93,63,13,7,6,0
01-03-2022,Quicksilver,1,864,23,355,188,167,80,72,11,8,3,0
01-03-2022,BitterLaser,2,989,412,954,707,247,62,29,60,56,4,5
01-03-2022,Quicksilver,2,372,351,362,328,34,87,48,67,38,29,2
01-03-2022,Discovery,3,300,121,244,179,65,71,42,56,30,26,3
01-03-2022,Honeycomb,2,290,121,165,7,158,57,44,26,24,2,1
01-03-2022,BitterLaser,1,189,21,23,16,7,50,14,15,12,3,0
01-03-2022,Aurora,3,382,372,318,160,158,53,23,37,27,10,3
01-03-2023,Quicksilver,1,288,109,146,86,60,76,37,4,3,1,0
01-03-2023,Quicksilver,1,791,224,274,34,240,73,54,46,24,22,2
01-03-2023,Aurora,1,914,109,560,358,202,74,56,29,1,28,2
01-03-2023,CelestialInterface,3,252,137,130,82,48,76,13,2,0,2,0
01-03-2023,Aurora,2,367,44,73,44,29,65,17,42,20,22,1
01-03-2023,Quicksilver,1,430,382,178,91,87,83,58,41,30,11,3
01-03-2023,PrimeSeven,3,316,214,198,6,192,77,54,61,16,45,1
01-03-2023,Mustangs,1,797,399,658,461,197,68,14,62,1,61,1
01-03-2023,PrimeSeven,2,809,76,552,384,168,70,36,65,42,23,0
01-03-2023,ImpactTraining,2,942,758,105,51,54,69,0,13,12,1,0
01-04-2021,BitterLaser,1,306,241,253,86,167,76,3,59,58,1,4
01-04-2021,CelestialInterface,2,823,680,600,377,223,75,20,3,2,1,0
01-04-2021,Quicksilver,1,416,83,309,112,197,52,17,50,19,31,3
01-04-2021,Honeycomb,3,337,268,108,5,103,97,71,6,1,5,0
01-04-2021,ImpactTraining,2,884,240,498,450,48,97,47,89,41,48,3
01-04-2021,PrimeSeven,3,415,404,295,288,7,54,5,32,10,22,1
01-04-2021,Quicksilver,1,489,53,336,295,41,58,15,37,31,6,1
01-04-2021,Aurora,2,921,758,811,269,542,60,47,52,48,4,2
01-04-2022,CelestialInterface,3,345,79,139,69,70,79,0,65,51,14,7
01-04-2022,Honeycomb,2,459,90,380,277,103,50,22,10,2,8,0
01-04-2022,BitterLaser,2,268,37,65,34,31,95,58,10,5,5,0
01-04-2022,Mustangs,2,288,206,160,121,39,80,51,19,8,11,1
01-04-2022,Honeycomb,1,949,508,851,482,369,75,12,20,7,13,1
01-04-2022,Mustangs,3,696,123,77,58,19,75,31,45,11,34,2
01-04-2022,BitterLaser,3,308,155,248,89,159,93,54,91,11,80,0
01-04-2022,Quicksilver,1,383,244,161,83,78,81,75,12,0,12,0
01-04-2022,ImpactTraining,3,203,16,176,49,127,51,35,50,12,38,4
01-04-2022,Honeycomb,3,999,712,369,70,299,63,55,39,5,34,2
01-04-2022,Aurora,2,152,100,53,47,6,54,6,21,6,15,0
01-04-2022,GrayPanthers,2,790,403,471,221,250,69,13,1,0,1,0
01-04-2022,BitterLaser,3,622,180,130,124,6,52,12,35,17,18,1
01-04-2022,ImpactTraining,1,245,74,131,52,79,52,45,7,1,6,0
01-04-2023,CelestialInterface,2,434,310,249,238,11,53,24,31,17,14,3
01-04-2023,BitterLaser,3,500,407,309,5,304,99,92,58,20,38,3
01-04-2023,ImpactTraining,1,868,618,512,476,36,58,48,32,3,29,0
01-04-2023,Mustangs,1,477,332,450,143,307,50,37,16,15,1,1
01-04-2023,BitterLaser,3,608,537,368,103,265,65,0,42,23,19,3
01-04-2023,CelestialInterface,1,272,256,90,53,37,90,25,42,35,7,5
01-04-2023,Discovery,1,961,472,846,490,356,87,29,36,31,5,1
01-04-2023,BitterLaser,3,605,251,467,77,390,55,24,49,45,4,4
01-04-2023,PrimeSeven,2,874,535,689,29,660,88,66,30,17,13,1
01-04-2023,GrayPanthers,1,885,221,543,350,193,92,8,4,1,3,0
01-04-2023,Aurora,3,790,784,770,206,564,51,22,13,2,11,0
01-04-2023,CelestialInterface,1,522,475,470,468,2,79,46,12,10,2,0
01-04-2023,BitterLaser,1,130,74,119,52,67,77,39,14,8,6,0
01-04-2023,PrimeSeven,1,308,83,273,226,47,67,19,0,0,0,0
01-04-2023,ImpactTraining,1,649,321,622,18,604,55,47,52,18,34,4
01-05-2021,CelestialInterface,2,555,238,359,217,142,98,90,86,59,27,7
01-05-2021,Aurora,1,807,416,277,84,193,89,5,6,5,1,0
01-05-2021,Mustangs,2,806,40,82,72,10,53,13,31,26,5,0
01-05-2021,Discovery,2,921,427,190,119,71,69,38,3,1,2,0
01-05-2021,Discovery,2,658,559,582,233,349,79,65,17,8,9,0
01-05-2021,Discovery,3,938,909,403,308,95,82,27,7,1,6,0
01-05-2021,GrayPanthers,2,328,47,307,30,277,95,72,93,10,83,3
01-05-2021,ImpactTraining,3,128,98,86,40,46,58,48,2,1,1,0
01-05-2021,Aurora,1,579,148,270,205,65,54,35,17,5,12,1
01-05-2021,PrimeSeven,1,952,392,602,526,76,69,5,7,5,2,0
01-05-2022,Aurora,1,369,307,148,59,89,90,65,57,52,5,7
01-05-2022,BitterLaser,3,542,13,169,74,95,69,0,48,7,41,5
01-05-2022,Mustangs,2,802,600,319,222,97,89,46,29,4,25,1
01-05-2022,Aurora,3,521,67,268,177,91,83,38,63,62,1,4
01-05-2022,Mustangs,2,799,538,436,107,329,56,44,38,21,17,4
01-05-2022,BitterLaser,2,692,435,490,208,282,50,36,5,2,3,0
01-05-2023,CelestialInterface,1,286,17,226,173,53,96,73,7,0,7,0
01-05-2023,ImpactTraining,1,976,182,822,653,169,61,1,36,9,27,4
01-05-2023,Discovery,3,364,128,297,35,262,72,38,34,23,11,4
01-05-2023,Quicksilver,1,563,252,388,290,98,97,94,58,45,13,1
01-05-2023,Honeycomb,1,613,109,300,232,68,62,43,26,10,16,0
01-05-2023,Mustangs,1,274,268,259,173,86,76,8,50,27,23,4
01-05-2023,Discovery,3,151,2,122,6,116,80,20,33,3,30,2
01-05-2023,CelestialInterface,2,635,426,624,197,427,91,56,25,4,21,2
01-05-2023,CelestialInterface,1,533,76,180,89,91,60,19,15,5,10,0
01-06-2021,Honeycomb,1,382,353,260,229,31,84,44,61,26,35,4
01-06-2021,CelestialInterface,2,284,86,203,168,35,98,34,38,15,23,1
01-06-2021,Mustangs,1,876,482,288,145,143,84,66,18,14,4,1
01-06-2021,Mustangs,1,203,35,190,71,119,65,6,25,21,4,2
01-06-2021,GrayPanthers,1,264,10,88,84,4,53,11,34,23,11,3
01-06-2021,Quicksilver,3,746,171,112,65,47,68,17,18,0,18,1
01-06-2021,Quicksilver,3,995,484,367,174,193,98,92,84,54,30,10
01-06-2021,Discovery,1,319,32,55,43,12,50,45,3,0,3,0
01-06-2021,Quicksilver,1,794,479,215,64,151,94,28,70,44,26,1
01-06-2021,Honeycomb,3,603,567,198,97,101,92,23,47,27,20,4
01-06-2022,Discovery,2,496,358,8,1,7,50,41,34,26,8,3
01-06-2022,Quicksilver,3,155,27,113,106,7,97,80,8,4,4,0
01-06-2022,Quicksilver,2,497,50,54,19,35,70,34,30,17,13,0
01-06-2022,ImpactTraining,3,478,20,126,119,7,63,29,12,8,4,0
01-06-2022,CelestialInterface,2,350,272,106,55,51,78,48,62,20,42,8
01-06-2022,PrimeSeven,2,523,262,221,99,122,78,39,41,2,39,0
01-06-2022,Mustangs,2,221,55,91,89,2,97,85,96,65,31,5
01-06-2022,Mustangs,2,433,398,45,41,4,85,21,84,0,84,4
01-06-2022,PrimeSeven,3,264,72,158,124,34,94,59,14,2,12,0
01-06-2023,GrayPanthers,1,880,865,365,21,344,100,91,61,24,37,1
01-06-2023,BitterLaser,1,977,498,509,435,74,77,9,59,41,18,1
01-06-2023,Discovery,3,263,133,227,225,2,67,60,26,8,18,1
01-06-2023,Mustangs,2,958,375,426,391,35,76,74,24,20,4,2
01-06-2023,PrimeSeven,2,198,30,188,58,130,77,41,69,6,63,3
01-06-2023,PrimeSeven,3,827,725,119,51,68,77,24,58,47,11,4
01-06-2023,ImpactTraining,3,533,478,330,83,247,50,28,18,3,15,1
01-06-2023,Discovery,3,766,154,633,104,529,52,37,4,3,1,0
01-06-2023,PrimeSeven,1,963,311,463,71,392,89,88,37,33,4,1
01-06-2023,PrimeSeven,1,328,105,8,5,3,97,90,25,12,13,2
01-06-2023,BitterLaser,2,644,15,426,266,160,55,48,19,10,9,1
01-06-2023,GrayPanthers,3,104,72,16,9,7,76,46,18,7,11,0
01-07-2021,Aurora,1,459,128,337,0,337,55,23,30,11,19,1
01-07-2021,Honeycomb,1,123,46,39,31,8,66,62,39,29,10,3
01-07-2021,Aurora,2,707,189,6,3,3,55,35,33,17,16,2
01-07-2021,Aurora,3,561,16,539,83,456,87,50,84,78,6,5
01-07-2021,Mustangs,2,870,678,467,42,425,70,30,21,16,5,2
01-07-2021,PrimeSeven,2,806,755,364,184,180,77,39,37,8,29,0
01-07-2021,GrayPanthers,1,873,300,58,57,1,63,60,45,12,33,5
01-07-2021,Aurora,1,332,113,205,188,17,57,21,15,4,11,1
01-07-2021,ImpactTraining,3,391,263,336,211,125,72,48,35,26,9,2
01-07-2021,Honeycomb,1,889,243,182,153,29,56,45,12,11,1,0
01-07-2021,GrayPanthers,2,123,99,72,21,51,75,26,50,33,17,3
01-07-2022,Honeycomb,3,814,25,91,6,85,74,11,3,1,2,0
01-07-2022,Quicksilver,1,306,176,265,34,231,84,32,25,23,2,1
01-07-2022,Honeycomb,2,102,71,89,11,78,73,18,38,7,31,3
01-07-2022,Discovery,2,131,28,16,8,8,95,23,49,0,49,3
01-07-2022,CelestialInterface,3,233,179,34,31,3,80,65,49,32,17,1
01-07-2022,Aurora,2,288,27,57,4,53,82,70,57,41,16,4
01-07-2022,PrimeSeven,3,524,122,363,49,314,65,45,32,8,24,2
01-07-2022,PrimeSeven,3,173,116,107,1,106,56,31,29,14,15,1
01-07-2022,Discovery,3,211,18,98,1,97,67,30,33,29,4,1
01-07-2022,Aurora,3,543,301,141,40,101,93,38,33,29,4,0
01-07-2023,Discovery,1,232,47,156,90,66,92,55,38,31,7,2
01-07-2023,Discovery,1,851,671,754,258,496,89,71,56,25,31,2
01-07-2023,Quicksilver,3,634,227,625,234,391,76,34,4,2,2,0
01-07-2023,CelestialInterface,3,458,115,84,36,48,65,57,53,41,12,0
01-07-2023,GrayPanthers,1,134,125,128,76,52,92,54,40,16,24,2
01-07-2023,Mustangs,2,226,161,165,132,33,94,73,72,69,3,8
01-07-2023,Honeycomb,1,772,129,133,92,41,56,38,39,27,12,3
01-07-2023,ImpactTraining,2,494,101,359,77,282,80,8,67,38,29,6
01-07-2023,GrayPanthers,2,407,112,178,89,89,95,28,69,4,65,1
01-07-2023,Quicksilver,2,529,459,185,106,79,73,40,63,45,18,5
01-08-2021,GrayPanthers,2,463,74,297,35,262,79,63,29,26,3,1
01-08-2021,Aurora,2,344,225,337,197,140,91,37,52,48,4,0
01-08-2021,Mustangs,1,366,250,206,201,5,74,2,24,7,17,2
01-08-2021,ImpactTraining,3,510,134,221,114,107,64,52,0,0,0,0
01-08-2021,ImpactTraining,1,347,41,198,131,67,53,30,27,20,7,1
01-08-2021,Quicksilver,1,674,366,517,59,458,50,31,14,2,12,1
01-08-2022,Aurora,1,319,200,51,31,20,60,47,26,17,9,0
01-08-2022,CelestialInterface,3,312,287,306,78,228,99,18,87,20,67,7
01-08-2022,Aurora,2,888,549,664,657,7,64,12,33,17,16,2
01-08-2022,Discovery,3,922,566,295,27,268,61,24,47,21,26,4
01-08-2022,BitterLaser,3,276,82,118,88,30,67,47,17,15,2,0
01-08-2022,ImpactTraining,1,953,366,919,527,392,69,54,46,31,15,5
01-08-2022,BitterLaser,2,447,437,318,14,304,80,59,19,4,15,1
01-08-2022,Mustangs,2,710,505,144,139,5,97,29,27,22,5,0
01-08-2022,GrayPanthers,1,532,423,458,429,29,100,50,72,25,47,7
01-08-2022,PrimeSeven,1,125,44,119,6,113,62,2,43,31,12,1
01-08-2022,GrayPanthers,1,602,100,7,4,3,56,31,17,6,11,1
01-08-2023,Quicksilver,2,169,105,33,8,25,84,75,24,13,11,1
01-08-2023,Honeycomb,1,122,18,68,43,25,78,59,5,0,5,0
01-08-2023,BitterLaser,2,165,66,17,8,9,79,68,56,28,28,6
01-08-2023,BitterLaser,2,614,159,602,350,252,61,33,32,18,14,1
01-08-2023,PrimeSeven,2,282,199,2,1,1,64,17,5,3,2,0
01-08-2023,CelestialInterface,3,255,50,42,2,40,58,12,0,0,0,0
01-08-2023,Discovery,1,596,449,518,472,46,92,58,75,24,51,2
01-08-2023,Discovery,1,344,103,97,77,20,73,43,61,2,59,0
01-08-2023,Honeycomb,2,214,35,48,15,33,66,26,28,11,17,3
01-08-2023,Quicksilver,1,824,278,507,4,503,51,37,8,3,5,0
01-09-2021,ImpactTraining,1,197,32,130,43,87,66,10,47,42,5,5
01-09-2021,Mustangs,1,422,1,53,12,41,87,58,8,1,7,0
01-09-2021,Discovery,3,305,35,289,92,197,53,5,8,6,2,0
01-09-2021,Mustangs,2,347,57,282,228,54,65,18,62,35,27,7
01-09-2021,ImpactTraining,2,194,56,177,77,100,90,11,19,16,3,1
01-09-2021,BitterLaser,2,406,335,11,4,7,73,65,37,13,24,3
01-09-2021,PrimeSeven,3,299,273,55,19,36,53,14,45,8,37,0
01-09-2021,CelestialInterface,3,399,97,394,265,129,92,25,36,31,5,0
01-09-2021,Aurora,3,192,158,62,19,43,82,71,27,9,18,3
01-09-2021,Honeycomb,1,546,60,404,143,261,71,19,62,56,6,4
01-09-2021,Aurora,2,430,400,256,208,48,59,31,22,13,9,0
01-09-2021,Aurora,1,803,382,422,5,417,71,13,55,54,1,6
01-09-2022,BitterLaser,1,650,213,428,271,157,84,10,65,32,33,0
01-09-2022,ImpactTraining,3,809,1,360,259,101,95,75,38,19,19,1
01-09-2022,ImpactTraining,3,578,472,95,79,16,77,20,41,14,27,1
01-09-2022,Honeycomb,1,261,226,241,231,10,53,46,30,26,4,0
01-09-2022,Honeycomb,2,637,539,63,49,14,95,21,5,4,1,0
01-09-2022,Aurora,1,213,170,59,12,47,75,26,14,8,6,1
01-09-2022,Honeycomb,3,380,165,217,45,172,75,45,62,4,58,2
01-09-2022,Aurora,1,579,16,77,45,32,86,79,16,10,6,0
01-09-2022,Mustangs,2,340,73,86,54,32,61,19,0,0,0,0
01-09-2022,PrimeSeven,3,793,325,749,242,507,100,56,3,1,2,0
01-09-2022,ImpactTraining,3,872,627,401,66,335,98,22,89,68,21,9
01-09-2022,GrayPanthers,1,246,179,69,26,43,51,23,0,0,0,0
01-09-2022,PrimeSeven,2,309,30,20,13,7,92,21,72,28,44,4
01-09-2022,GrayPanthers,3,108,97,50,1,49,86,12,8,1,7,0
01-09-2022,Aurora,1,718,373,22,10,12,54,42,33,18,15,2
01-09-2022,GrayPanthers,1,293,106,60,0,60,60,4,56,38,18,5
01-09-2023,GrayPanthers,2,414,272,225,208,17,90,61,14,0,14,1
01-09-2023,Honeycomb,3,277,228,150,18,132,80,14,65,60,5,2
01-09-2023,BitterLaser,2,519,4,130,63,67,77,12,19,0,19,0
01-09-2023,Discovery,1,296,163,293,164,129,52,23,19,13,6,1
01-09-2023,ImpactTraining,1,652,368,362,67,295,75,24,68,39,29,9
01-09-2023,CelestialInterface,2,169,88,91,84,7,80,28,8,5,3,0
01-10-2021,Honeycomb,3,266,188,225,92,133,86,52,85,10,75,1
01-10-2021,ImpactTraining,2,895,322,449,397,52,79,53,28,5,23,0
01-10-2021,Quicksilver,2,247,163,171,62,109,55,16,8,2,6,0
01-10-2021,Aurora,2,338,118,0,0,0,89,33,12,5,7,0
01-10-2021,CelestialInterface,3,196,154,187,52,135,87,65,86,0,86,6
01-10-2021,PrimeSeven,3,323,300,26,12,14,81,16,79,60,19,6
01-10-2021,CelestialInterface,2,922,211,52,42,10,77,40,23,11,12,2
01-10-2021,Mustangs,2,643,229,357,334,23,68,45,50,22,28,2
01-10-2022,Mustangs,3,647,50,491,366,125,98,31,11,3,8,0
01-10-2022,Mustangs,2,783,696,327,244,83,65,29,56,34,22,7
01-10-2022,Quicksilver,1,360,134,214,125,89,81,55,76,5,71,5
01-10-2022,CelestialInterface,2,674,153,203,123,80,76,52,14,13,1,1
01-10-2022,Mustangs,1,960,519,794,679,115,99,34,8,0,8,0
01-10-2022,ImpactTraining,3,114,89,29,10,19,59,1,21,19,2,1
01-10-2022,CelestialInterface,2,853,115,541,322,219,60,41,8,5,3,0
01-10-2022,PrimeSeven,2,272,129,90,38,52,62,27,13,8,5,0
01-10-2022,Honeycomb,3,475,289,257,26,231,89,29,32,8,24,0
01-10-2022,Discovery,2,540,496,67,60,7,53,12,26,25,1,1
01-10-2022,CelestialInterface,3,121,109,96,51,45,85,10,58,34,24,7
01-10-2022,Aurora,1,298,198,197,96,101,67,1,35,19,16,1
01-10-2022,GrayPanthers,2,506,45,319,202,117,57,5,6,5,1,0
01-10-2022,ImpactTraining,2,871,790,797,458,339,97,91,40,1,39,1
01-10-2022,ImpactTraining,2,973,242,857,789,68,94,41,21,15,6,1
01-10-2022,Mustangs,1,927,231,117,74,43,92,3,20,0,20,0
01-10-2022,CelestialInterface,1,478,95,167,90,77,95,23,34,25,9,4
01-10-2023,Mustangs,3,492,166,138,45,93,58,12,57,10,47,7
01-10-2023,GrayPanthers,3,135,48,26,2,24,79,59,36,8,28,4
01-10-2023,Mustangs,3,948,149,839,610,229,87,77,3,2,1,0
01-10-2023,ImpactTraining,3,793,576,638,73,565,71,68,46,21,25,4
01-10-2023,Discovery,2,480,152,278,110,168,72,41,28,20,8,3
01-10-2023,BitterLaser,3,343,302,312,59,253,74,17,18,14,4,0
01-10-2023,BitterLaser,3,414,32,379,224,155,91,36,79,25,54,1
01-10-2023,GrayPanthers,3,619,616,378,135,243,81,38,25,15,10,1
01-10-2023,Mustangs,1,750,476,391,286,105,89,84,49,46,3,0
01-10-2023,GrayPanthers,2,142,101,94,45,49,73,8,71,48,23,1
01-10-2023,Discovery,3,406,244,144,69,75,74,8,36,0,36,1
01-11-2021,Discovery,1,606,123,68,19,49,54,6,20,12,8,0
01-11-2021,BitterLaser,1,722,716,1,0,1,66,53,40,14,26,2
01-11-2021,GrayPanthers,3,728,50,244,114,130,57,44,49,13,36,0
01-11-2021,Discovery,2,479,419,382,25,357,97,67,19,13,6,1
01-11-2021,Quicksilver,1,608,458,464,173,291,51,27,40,14,26,2
01-11-2021,GrayPanthers,3,919,853,323,86,237,59,24,18,14,4,1
01-11-2021,PrimeSeven,1,187,8,48,15,33,57,39,21,15,6,1
01-11-2022,CelestialInterface,2,511,205,467,304,163,93,72,28,7,21,1
01-11-2022,BitterLaser,2,850,713,472,14,458,88,59,63,1,62,0
01-11-2022,Discovery,3,892,759,556,332,224,69,24,45,2,43,3
01-11-2022,GrayPanthers,1,498,1,373,227,146,89,15,11,2,9,0
01-11-2022,Honeycomb,2,938,697,589,116,473,85,84,43,0,43,0
01-11-2022,PrimeSeven,2,583,24,27,5,22,60,39,19,17,2,1
01-11-2022,GrayPanthers,3,360,345,238,93,145,83,77,11,7,4,0
01-11-2022,GrayPanthers,1,326,60,13,5,8,93,53,14,12,2,0
01-11-2022,Discovery,2,211,61,69,49,20,85,39,38,17,21,4
01-11-2023,ImpactTraining,3,410,143,174,12,162,79,16,20,0,20,2
01-11-2023,Honeycomb,1,580,423,171,155,16,68,63,65,60,5,8
01-11-2023,Discovery,3,465,451,323,322,1,61,52,49,6,43,6
01-11-2023,Mustangs,3,302,210,258,50,208,60,58,9,0,9,0
01-11-2023,CelestialInterface,1,147,137,75,47,28,59,50,46,36,10,1
01-11-2023,GrayPanthers,1,878,268,646,43,603,77,30,54,53,1,1
01-11-2023,BitterLaser,1,680,157,164,22,142,98,42,17,16,1,0
01-11-2023,Mustangs,3,165,24,141,118,23,95,73,78,43,35,10
01-11-2023,CelestialInterface,1,354,342,92,4,88,92,26,27,10,17,1
01-12-2021,Mustangs,1,763,221,664,359,305,73,52,26,2,24,0
01-12-2021,CelestialInterface,2,207,113,120,98,22,95,47,69,59,10,7
01-12-2021,ImpactTraining,2,902,558,811,595,216,62,25,39,3,36,0
01-12-2021,Honeycomb,2,527,94,40,11,29,79,35,44,27,17,3
01-12-2021,CelestialInterface,2,100,49,45,31,14,86,49,19,5,14,1
01-12-2021,CelestialInterface,2,172,70,167,43,124,63,41,40,30,10,5
01-12-2022,Aurora,2,640,109,376,122,254,60,19,8,3,5,0
01-12-2022,BitterLaser,3,635,234,556,74,482,56,28,8,6,2,0
01-12-2022,Quicksilver,3,314,218,231,133,98,69,46,1,0,1,0
01-12-2022,PrimeSeven,2,632,273,542,536,6,71,23,16,15,1,0
01-12-2022,PrimeSeven,2,393,333,89,48,41,98,26,18,5,13,0
01-12-2022,PrimeSeven,3,751,102,69,62,7,98,23,96,54,42,4
01-12-2022,Quicksilver,3,178,13,142,55,87,83,45,76,60,16,3
01-12-2023,PrimeSeven,3,820,473,521,497,24,96,1,34,0,34,1
01-12-2023,ImpactTraining,3,206,23,29,25,4,55,0,47,8,39,1
01-12-2023,Discovery,3,627,625,53,22,31,64,31,21,3,18,2
01-12-2023,Quicksilver,2,909,409,163,43,120,56,31,54,13,41,3
01-12-2023,Aurora,1,830,367,563,416,147,87,70,77,22,55,5
01-12-2023,Honeycomb,3,705,687,614,359,255,50,33,35,33,2,3
02-01-2021,Discovery,1,450,121,309,101,208,64,23,4,0,4,0
02-01-2021,GrayPanthers,2,106,25,13,6,7,78,50,41,22,19,2
02-01-2021,ImpactTraining,1,220,8,212,107,105,96,65,47,7,40,5
02-01-2021,CelestialInterface,3,900,285,589,270,319,77,39,17,5,12,1
02-01-2021,GrayPanthers,1,276,35,66,65,1,58,4,2,0,2,0
02-01-2021,Discovery,1,419,29,140,2,138,58,19,36,23,13,3
02-01-2021,Discovery,2,820,537,606,137,469,71,2,39,32,7,1
02-01-2021,GrayPanthers,3,418,214,110,50,60,70,52,14,9,5,0
02-01-2021,ImpactTraining,3,447,367,375,208,167,95,68,9,4,5,0
02-01-2021,PrimeSeven,1,508,235,163,39,124,63,42,23,0,23,1
02-01-2021,CelestialInterface,2,428,347,235,168,67,57,56,29,13,16,3
02-01-2021,Discovery,3,861,552,770,30,740,89,72,61,34,27,2
02-01-2022,Mustangs,2,491,354,443,410,33,87,3,46,33,13,0
02-01-2022,GrayPanthers,1,850,511,847,371,476,87,85,17,16,1,1
